Mã khách hàng,Tuổi khách hàng,Thu nhập hàng năm (VND),Tình trạng sở hữu nhà,Thâm niên làm việc (năm),Mục đích khoản vay,Hạng tín dụng khoản vay,Số tiền vay đề nghị (VND),Lãi suất khoản vay (%),"Trạng thái trả nợ (0 = không vỡ nợ, 1 = vỡ nợ)",Tỷ lệ thu nhập dành cho trả nợ,Từng vỡ nợ trong hồ sơ tín dụng (Có/Không),Thời gian lịch sử tín dụng (năm),Giới tính,Tình trạng hôn nhân,Trình độ học vấn,Quốc gia cư trú,Tỉnh/Bang cư trú,Thành phố cư trú,Vĩ độ thành phố,Kinh độ thành phố,Loại hình việc làm,Thời hạn khoản vay (tháng),Tỷ lệ khoản vay trên thu nhập,Khoản nợ khác (VND),Tỷ lệ tổng nợ trên thu nhập,Số tài khoản tín dụng đang mở,Tỷ lệ sử dụng tín dụng,Số lần quá hạn trong quá khứ
CUST_31077,39,1955438250.0,3,6,3,0,417160160.0,7.88,0,0.21,1,14,0,3,3,2,6,4,55.8642,-4.2518,2,36,0.2133333333333333,236311234.2231098,0.3341815545559211,2,0.2332398613372461,0
CUST_28077,29,1642568130.0,2,5,0,3,260725100.0,15.33,0,0.16,0,7,1,3,0,1,3,10,40.7128,-74.006,2,60,0.1587301587301587,152180346.0244542,0.2513779723855072,13,0.46557781776849,0
CUST_26242,28,2591607494.0,3,6,5,1,125148048.0,10.99,0,0.05,1,7,1,3,1,0,0,17,48.4284,-123.3656,2,60,0.0482897384305835,424771545.6952637,0.2121924693335771,5,0.1359269904170369,0
CUST_26802,34,2659396020.0,3,0,1,2,187722072.0,13.49,1,0.07,1,5,1,3,3,2,6,3,55.9533,-3.1883,2,36,0.0705882352941176,306737139.1649215,0.1859291385887392,4,0.2023995381427198,0
CUST_18763,35,764211340.6099999,2,4,2,0,26072510.0,7.49,0,0.03,1,9,1,1,3,1,7,5,29.7604,-95.3698,2,36,0.0341168844461123,117431457.0830835,0.1877804730933951,13,0.7971431829207224,2
CUST_10511,24,1772930680.0,3,1,0,4,143398805.0,15.68,0,0.08,1,4,1,3,3,2,6,3,55.9533,-3.1883,2,12,0.0808823529411764,421731243.526755,0.3187547346897708,15,0.2298099387485931,0
CUST_22361,32,976154774.4,2,8,4,1,182507570.0,9.91,0,0.19,1,8,0,1,1,0,4,15,43.6532,-79.3832,2,12,0.1869658119658119,117675558.4258429,0.307515914789591,1,0.6079879834659926,1
CUST_14419,26,750888288.0,2,10,5,1,391087650.0,10.0,1,0.52,1,2,1,3,3,1,7,5,29.7604,-95.3698,3,36,0.5208333333333334,91655153.02883306,0.6428956354008721,1,0.4263893254334852,0
CUST_25970,30,990755379.9999999,2,0,5,0,333728128.0,5.79,1,0.34,1,8,1,3,1,1,7,5,29.7604,-95.3698,0,36,0.3368421052631579,104299244.4326471,0.4421145534760023,14,0.6496835875126467,3
CUST_16003,24,1073144511.6,2,2,3,0,104290040.0,10.99,0,0.1,1,3,0,1,0,1,7,5,29.7604,-95.3698,2,36,0.097181729834791,286060301.2380264,0.363744432384074,1,0.2359863655478098,1
CUST_11839,26,2346525900.0,2,2,0,0,260725100.0,7.49,0,0.11,1,4,1,3,0,2,6,3,55.9533,-3.1883,0,60,0.1111111111111111,474102068.0880551,0.3131553621837522,8,0.4939112316483654,0
