Lãi suất khoản vay (%),Tỷ lệ khoản vay trên thu nhập,Tỷ lệ tổng nợ trên thu nhập,Thu nhập hàng năm (VND),Tình trạng sở hữu nhà,Từng vỡ nợ trong hồ sơ tín dụng (Có/Không),Số tiền vay đề nghị (VND),Mục đích khoản vay,"Trạng thái trả nợ (0 = không vỡ nợ, 1 = vỡ nợ)"
7.88,0.2133333333333333,0.3341815545559211,1955438250.0,3,1,417160160.0,3,0
15.33,0.1587301587301587,0.2513779723855072,1642568130.0,2,0,260725100.0,0,0
10.99,0.0482897384305835,0.2121924693335771,2591607494.0,3,1,125148048.0,5,0
13.49,0.0705882352941176,0.1859291385887392,2659396020.0,3,1,187722072.0,1,1
7.49,0.0341168844461123,0.1877804730933951,764211340.6099999,2,1,26072510.0,2,0
15.68,0.0808823529411764,0.3187547346897708,1772930680.0,3,1,143398805.0,0,0
9.91,0.1869658119658119,0.307515914789591,976154774.4,2,1,182507570.0,4,0
10.0,0.5208333333333334,0.6428956354008721,750888288.0,2,1,391087650.0,5,1
5.79,0.3368421052631579,0.4421145534760023,990755380.0,2,1,333728128.0,5,1
10.99,0.097181729834791,0.363744432384074,1073144511.6,2,1,104290040.0,3,0
7.49,0.1111111111111111,0.3131553621837522,2346525900.0,2,1,260725100.0,0,0
12.98,0.0471698113207547,0.2129103926523028,2763686060.0,3,1,130362550.0,5,0
9.99,0.0266666666666666,0.1502715203419183,1955438250.0,2,1,52145020.0,5,0
10.99,0.0850991404986809,0.2261812698611937,1225512260.04,2,1,104290040.0,0,0
6.17,0.0833333333333333,0.2457805433068481,1564350600.0,2,1,130362550.0,4,0
12.87,0.1025641025641025,0.4012638294368754,2033655780.0,3,1,208580080.0,4,1
17.56,0.182648401826484,0.4504059196478397,2854939845.0,3,1,521450199.9999999,4,0
7.88,0.1166666666666666,0.3697481119825337,3128701200.0,3,1,365015140.0,2,0
6.17,0.3269230769230769,0.5351715853426882,677885260.0,2,1,221616335.0,2,1
6.76,0.0628571428571428,0.2346066880004889,1825075700.0,3,1,114719044.0,3,0
10.99,0.145985401459854,0.3778860755945357,1428773548.0,1,1,208580080.0,2,0
10.75,0.1691176470588235,0.459151051363257,886465340.0,2,1,149916932.5,4,0
10.99,0.4166666666666667,0.7033811858729154,1564350600.0,2,0,651812750.0,3,1
10.25,0.375,0.6364463411018622,1668640640.0,3,1,625740240.0,2,0
6.03,0.146788990825688,0.2001131688124147,2841903590.0,3,1,417160160.0,3,0
17.56,0.0384615384615384,0.3217072685395632,3389426300.0,3,0,130362550.0,0,0
13.35,0.0311526479750778,0.1756667323189846,3347710284.0,3,0,104290040.0,0,0
10.99,0.1541338704042417,0.2271049451942558,1268662264.09,2,1,195543825.0,2,0
7.88,0.2041666666666666,0.4977963626623206,1251480480.0,2,1,255510598.0,3,0
10.59,0.1025,0.3007876244692216,782175300.0,2,1,80172968.25,2,0
10.99,0.1318681318681318,0.4143374314744508,4745196820.0,3,1,625740240.0,5,0
13.92,0.03,0.2983617041039109,1303625500.0,2,1,39108765.0,4,0
10.99,0.2,0.4506944003838397,2815831080.0,3,1,563166216.0,2,0
10.0,0.0181814049680689,0.1862956293909464,4588866050.04,3,1,83432032.0,3,0
13.85,0.2201881035513195,0.3821731124608501,1657742330.82,3,1,365015140.0,1,1
13.48,0.1068702290076335,0.2963243668898144,2049299286.0,2,1,219009084.0,5,0
7.49,0.1627118644067796,0.244895298487724,1538278090.0,2,1,250296096.0,2,1
7.49,0.0793831168831168,0.1300906899123448,4015166540.0,3,1,318736434.75,0,0
12.69,0.1176470588235294,0.2815318763925371,1329698010.0,2,1,156435060.0,3,0
7.14,0.1739130434782608,0.2592142981286359,1199335460.0,2,1,208580080.0,3,0
7.49,0.2990430622009569,0.4934314241398426,2092475362.56,1,1,625740240.0,4,0
6.17,0.125,0.2985067570111239,1042900400.0,2,1,130362550.0,5,0
13.49,0.09175514484205,0.2385597251986708,9945358939.5,3,0,912537850.0,5,0
11.46,0.03,0.1317780012345231,1564350600.0,2,1,46930518.0,2,0
5.99,0.1276595744680851,0.2183061021120514,1225407970.0,3,1,156435060.0,4,0
7.51,0.1935483870967742,0.4453744599723837,808247810.0,3,1,156435060.0,0,0
10.99,0.119047619047619,0.2224692604479134,1095045420.0,2,0,130362550.0,3,1
9.99,0.1272727272727272,0.327764855713947,2867976100.0,3,1,365015140.0,4,0
12.18,0.0769230769230769,0.3441710077709041,2033655780.0,1,1,156435060.0,5,0
6.03,0.1382978723404255,0.382925077981233,2450815940.0,3,1,338942630.0,0,0
7.68,0.079993600511959,0.1816384327050212,1303729790.04,2,1,104290040.0,2,0
10.59,0.1041666666666666,0.297279920997106,625740240.0,1,1,65181274.99999999,4,0
12.18,0.2142857142857142,0.3172600258858189,1825075700.0,1,1,391087650.0,2,0
11.89,0.0666666666666666,0.2743178870959702,469305180.0,2,1,31287012.0,2,0
15.7,0.029855074936238,0.216560745029781,9169675694.49,2,1,273761355.0,1,0
10.96,0.1212121212121212,0.3152784649088461,860392830.0,2,1,104290040.0,3,0
12.84,0.0245098039215686,0.2012901907529432,1595637612.0,1,0,39108765.0,1,0
11.36,0.3236245954692556,0.472501077631311,1611281118.0,3,1,521450199.9999999,3,0
10.75,0.0853658536585365,0.1637644642492402,1068972910.0,2,1,91253785.0,2,0
13.48,0.15,0.3965140205323412,2085800800.0,3,0,312870120.0,2,0
10.59,0.08,0.3401235978207563,3128701200.0,3,1,250296096.0,0,0
13.16,0.1690140845070422,0.3412481883238794,1851148210.0,2,0,312870120.0,3,0
6.03,0.1335877862595419,0.3125584241481516,2732399048.0,3,1,365015140.0,4,0
5.42,0.0178571428571428,0.1088192259872207,1825075700.0,1,1,32590637.5,4,0
12.21,0.3883495145631068,0.4584825332279563,1342734265.0,2,1,521450199.9999999,4,1
13.49,0.095,0.3043463828446388,2085800800.0,2,1,198151076.0,5,0
10.37,0.2631578947368421,0.3244430950252832,990755380.0,3,1,260725100.0,4,0
9.63,0.1282051282051282,0.40199604117825,2033655780.0,3,1,260725100.0,2,1
6.03,0.2,0.4220425004151705,1303625500.0,3,1,260725100.0,3,0
5.42,0.0555555555555555,0.1720660548924087,1407915540.0,3,1,78217530.0,4,0
5.79,0.0975609756097561,0.1995986829420601,1603459365.0,2,1,156435060.0,2,0
11.99,0.2862903225806452,0.4762970670645712,808247810.0,3,1,231393526.25,0,1
11.12,0.175,0.3367050536549208,1251480480.0,2,1,219009084.0,3,0
13.57,0.0428571428571428,0.3235434025840566,1825075700.0,3,0,78217530.0,3,0
7.51,0.044776119402985,0.3254015550276372,1746858170.0,2,1,78217530.0,4,0
10.25,0.2881144688496463,0.4306578450284022,1610785740.31,3,1,464090678.0,2,0
16.29,0.16875,0.3476566554594623,834320320.0,2,0,140791554.0,2,1
11.86,0.0560344827586206,0.2516303260742695,1512205580.0,3,1,84735657.5,5,0
14.61,0.1739130434782608,0.4667651476818232,2998338650.0,3,1,521450199.9999999,0,0
7.88,0.1176470588235294,0.2273617969109957,1329698010.0,3,1,156435060.0,0,0
11.71,0.3333333333333333,0.613170997902267,1564350600.0,3,1,521450199.9999999,5,0
7.49,0.1454545454545454,0.2566303767592727,1433988050.0,3,1,208580080.0,2,0
8.49,0.1700898074183168,0.4554711152865965,1628671482.17,2,1,277020418.75,1,0
10.39,0.0517241379310344,0.2327336942999198,756102790.0,2,1,39108765.0,0,1
18.39,0.2884615384615384,0.3902060058671309,2711541040.0,3,1,782175300.0,2,1
7.88,0.043859649122807,0.2896275654787177,1188906456.0,3,1,52145020.0,0,0
10.59,0.1388888888888889,0.4379445936901013,1877220720.0,2,1,260725100.0,3,0
10.99,0.1,0.3427935699982629,2085800800.0,3,1,208580080.0,5,0
15.23,0.0272727272727272,0.2184977125084167,1147190440.0,2,1,31287012.0,5,0
12.42,0.1041666666666666,0.3175266574002787,750888288.0,2,1,78217530.0,3,0
6.03,0.1398601398601398,0.3163563690785667,1491347572.0,3,1,208580080.0,3,0
7.88,0.1894736842105263,0.2505865932744203,2476888450.0,3,1,469305180.0,3,0
7.4,0.0625,0.2880858557261816,1251480480.0,3,1,78217530.0,2,0
6.62,0.08,0.3388586035548283,1173262950.0,3,1,93861036.0,1,0
10.99,0.1248524471079633,0.3975928827511104,1148546210.52,2,0,143398805.0,3,1
13.61,0.096,0.2983480848135223,1955438250.0,2,1,187722072.0,4,0
12.42,0.025,0.1441823277933357,1564350600.0,3,1,39108765.0,1,0
7.9,0.2372881355932203,0.4375382499099428,3076556180.0,3,1,730030280.0,4,0
5.42,0.0802139037433155,0.2609619857047038,487555936.9999999,2,1,39108765.0,5,0
10.99,0.0714285714285714,0.2317317096430305,3650151400.0,2,0,260725100.0,4,0
9.88,0.1320754716981132,0.4063716698485622,1381843030.0,2,1,182507570.0,0,0
13.49,0.1784615384615384,0.3112202005811982,1694713150.0,2,0,302441116.0,1,0
5.79,0.0389610389610389,0.116674470232845,4015166540.0,3,1,156435060.0,3,0
15.21,0.0378378378378378,0.1492782489560338,1929365740.0,2,0,73003028.0,4,1
6.03,0.0789473684210526,0.2835195399960624,4953776900.0,1,1,391087650.0,2,0
10.99,0.0502708811114434,0.1844539803763445,1568887216.74,3,1,78869342.75,5,1
7.49,0.2096208192292165,0.3021096638078684,1679121789.02,2,1,351978885.0,3,0
14.27,0.2964285714285714,0.4925147881606397,912537850.0,2,1,270502291.25,5,0
7.9,0.24,0.4201902167926699,1303625500.0,3,1,312870120.0,3,0
7.51,0.2580978190734288,0.3257057215323716,808143519.9599999,1,1,208580080.0,2,0
7.9,0.25,0.3564973255093789,1877220720.0,3,1,469305180.0,0,0
7.51,0.3617438386855862,0.5062452230148057,558577454.24,3,1,202061952.5,2,1
13.99,0.0769230769230769,0.2000994444595111,1694713150.0,2,0,130362550.0,3,0
6.99,0.0375,0.2530107986472299,2085800800.0,3,1,78217530.0,4,0
6.62,0.156,0.322854773208265,1303625500.0,3,1,203365578.0,4,0
15.23,0.144927536231884,0.4083068284402739,719601276.0,2,1,104290040.0,3,0
7.9,0.096,0.3590917281143162,1955438250.0,2,1,187722072.0,3,0
13.85,0.224,0.3654516787815209,1303625500.0,2,0,292012112.0,4,0
10.99,0.2275862068965517,0.373710871014361,1512205580.0,3,1,344157132.0,5,0
5.99,0.25,0.5204064589332129,688314264.0,1,1,172078566.0,4,0
18.25,0.1488095238095238,0.2794784525489346,876036336.0,1,1,130362550.0,3,0
11.34,0.3333333333333333,0.4001431425869997,625740240.0,3,0,208580080.0,2,0
13.79,0.1025641025641025,0.399865190372989,2033655780.0,2,0,208580080.0,5,0
12.21,0.1575342465753424,0.3240583088160241,1903293230.0,2,1,299833865.0,3,0
6.03,0.1476793248945147,0.3685196116499258,2471673948.0,3,1,365015140.0,3,0
7.29,0.1972919089549759,0.2954707973848351,1255443501.52,3,1,247688845.0,5,0
10.99,0.3689236111111111,0.4948721917214871,750888288.0,3,1,277020418.75,5,0
10.37,0.3333333333333333,0.5810125984455602,1173262950.0,2,1,391087650.0,3,1
14.96,0.3777777777777777,0.4891668790019361,1173262950.0,2,0,443232670.0,2,1
5.42,0.1607142857142857,0.3535527121679642,876036336.0,1,1,140791554.0,2,0
10.99,0.3541666666666667,0.433202350984728,782175300.0,2,1,277020418.75,4,1
5.79,0.0489795918367346,0.338454579926909,1277552990.0,3,1,62574023.99999999,4,0
6.03,0.131578947368421,0.2245449261484329,1188906456.0,3,1,156435060.0,5,0
15.96,0.0510204081632653,0.316721642690248,2555105980.0,2,0,130362550.0,1,0
7.68,0.1166666666666666,0.3854708241402965,1564350600.0,3,1,182507570.0,5,0
7.88,0.0208333333333333,0.2735199626169308,6257402400.0,3,1,130362550.0,2,0
13.49,0.4895833333333333,0.6396902110757369,1251480480.0,3,0,612703985.0,5,0
7.51,0.24,0.4575323437296088,651812750.0,2,1,156435060.0,4,0
