Mã khách hàng,Lãi suất khoản vay (%),Tỷ lệ khoản vay trên thu nhập,Tỷ lệ tổng nợ trên thu nhập,Thu nhập hàng năm (VND),Tình trạng sở hữu nhà,Từng vỡ nợ trong hồ sơ tín dụng (Có/Không),Số tiền vay đề nghị (VND),Mục đích khoản vay,"Trạng thái trả nợ (0 = không vỡ nợ, 1 = vỡ nợ)",predicted,prob_vỡ_nợ,correct
CUST_11259,10.74,0.3450941416818508,0.5862622165037733,1888796914.44,3,1,651812750.0,1,0,1,0.7799950812958075,0
CUST_08456,11.99,0.3448275862068966,0.3991215494343862,1512205580.0,1,1,521450199.9999999,5,0,1,0.7333224177349764,0
CUST_21547,13.49,0.1923076923076923,0.3721090768078789,813462312.0,2,0,156435060.0,4,0,1,0.5015465760610859,0
CUST_07438,8.9,0.1955882352941176,0.3606853994697874,886465340.0,2,1,173382191.5,4,0,1,0.5048375411433691,0
CUST_20548,15.05,0.1951219512195122,0.4232752652214031,1068972910.0,3,1,208580080.0,0,0,1,0.5052931841991365,0
CUST_25915,11.48,0.1956521739130435,0.4407682787678317,2398670920.0,3,1,469305180.0,2,0,1,0.5132533682583615,0
CUST_11233,5.79,0.1923076923076923,0.3460025095217304,1355770520.0,2,1,260725100.0,4,0,1,0.50257761215422,0
CUST_08855,10.99,0.35,0.5564518101453012,1564350600.0,3,0,547522710.0,5,0,1,0.746779629019267,0
CUST_20192,7.51,0.4282051282051282,0.6552964541313723,1016827890.0,3,1,435410917.0,4,0,1,0.7403482890016162,0
CUST_18260,9.25,0.1919938561966017,0.4454856419008355,3259168040.04,2,1,625740240.0,4,0,1,0.5050875152445654,0
CUST_25381,19.03,0.1929260450160771,0.2460197947462723,1621710122.0,2,1,312870120.0,0,0,1,0.5041701566093503,0
CUST_02316,10.99,0.3833498386736095,0.4627504822708455,816147780.53,3,1,312870120.0,5,0,1,0.664242656754175,0
CUST_08128,11.36,0.39104493657278,0.523349299287557,1455158928.12,3,1,569032530.75,5,0,1,0.779884292793779,0
CUST_15494,13.79,0.3809523809523809,0.4356116714341886,547522710.0,1,0,208580080.0,2,0,1,0.6111170362741958,0
CUST_15116,10.0,0.1930894308943089,0.462220965377634,641383746.0,1,1,123844422.5,0,0,1,0.50176291497438,0
CUST_16595,10.99,0.406421459053038,0.5572454474108806,641514108.55,1,1,260725100.0,2,0,1,0.6457589948075271,0
CUST_24115,7.49,0.3428571428571428,0.4971705834222082,1825075700.0,1,1,625740240.0,4,0,1,0.769455174087259,0
CUST_32134,10.38,0.4007633587786259,0.506173016079757,1366199524.0,3,1,547522710.0,0,0,1,0.7764726901211159,0
CUST_16926,12.68,0.1984126984126984,0.3949414220456778,1971081756.0,3,0,391087650.0,5,0,1,0.5167852385269357,0
CUST_14024,7.9,0.1944444444444444,0.3360702023214072,1877220720.0,2,1,365015140.0,2,0,1,0.5079163926777667,0
CUST_16623,6.91,0.1920891293560211,0.3382421351060315,1628775772.21,3,1,312870120.0,0,0,1,0.5027107680086986,0
CUST_08674,11.71,0.35,0.4909172231212599,1564350600.0,3,1,547522710.0,3,0,1,0.746779629019267,0
CUST_11927,10.99,0.3856041131105398,0.5429767928784258,2028441278.0,3,1,782175300.0,0,0,1,0.8475486152226501,0
CUST_24499,12.73,0.1917598071444225,0.4382964058667882,1903501810.08,3,0,365015140.0,2,0,1,0.5024884934649646,0
CUST_20549,10.83,0.1951219512195122,0.4845753659813325,1068972910.0,3,1,208580080.0,3,0,1,0.5052931841991363,0
CUST_19601,5.99,0.3428571428571428,0.5322083961229155,912537850.0,3,1,312870120.0,2,0,1,0.6462551927107955,0
CUST_21987,11.49,0.4901960784313725,0.7329569803539966,1329698010.0,3,1,651812750.0,0,0,1,0.8491026952713214,0
CUST_20886,6.17,0.3545454545454545,0.4142838773709789,1147190440.0,3,1,406731156.0,3,0,1,0.6933264305944299,0
CUST_10671,10.62,0.3571632664723698,0.5081533311074358,1824971409.96,3,1,651812750.0,0,0,1,0.788910739016099,0
CUST_29922,7.14,0.1910721536220115,0.4840285116655089,1091629921.19,3,1,208580080.0,2,0,1,0.5006134198585549,0
CUST_29085,8.94,0.35,0.589966905675012,782175300.0,3,1,273761355.0,4,0,1,0.6319880316162526,0
CUST_20625,14.35,0.198,0.4394392351675603,1303625500.0,2,1,258117849.0,0,0,1,0.5105207813094086,0
CUST_32170,12.53,0.192,0.2651600988691641,1955438250.0,2,1,375444144.0,0,0,1,0.5030655011817095,0
CUST_18593,10.99,0.4166666666666667,0.5897479276350709,625740240.0,3,1,260725100.0,5,0,1,0.6487346104439711,0
